"filename", "language", "Python", "JavaScript", "pip requirements", "Markdown", "PostCSS", "HTML", "JSON", "comment", "blank", "total"
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\templates\index.html", "HTML", 0, 0, 0, 0, 0, 286, 0, 22, 30, 338
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\index.html", "HTML", 0, 0, 0, 0, 0, 294, 0, 22, 22, 338
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\button.css", "PostCSS", 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\buttons.css", "PostCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\checkbox.css", "PostCSS", 0, 0, 0, 0, 47, 0, 0, 0, 9, 56
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\conversation.css", "PostCSS", 0, 0, 0, 0, 194, 0, 0, 5, 41, 240
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\dropdown.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\field.css", "PostCSS", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\global.css", "PostCSS", 0, 0, 0, 0, 93, 0, 0, 0, 17, 110
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\hljs.css", "PostCSS", 0, 0, 0, 0, 59, 0, 0, 1, 9, 69
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\label.css", "PostCSS", 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\mail.css", "PostCSS", 0, 0, 0, 0, 89, 0, 0, 4, 23, 116
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\main.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\message-input.css", "PostCSS", 0, 0, 0, 0, 30, 0, 0, 0, 12, 42
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\message.css", "PostCSS", 0, 0, 0, 0, 210, 0, 0, 2, 37, 249
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\options.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\right-sidebar.css", "PostCSS", 0, 0, 0, 0, 376, 0, 0, 14, 61, 451
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\select.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 1, 7, 36
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\settings.css", "PostCSS", 0, 0, 0, 0, 36, 0, 0, 0, 9, 45
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\sidebar.css", "PostCSS", 0, 0, 0, 0, 194, 0, 0, 4, 41, 239
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\stop-generating.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\style.css", "PostCSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\css\typing.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\img\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\change-language.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 4, 7, 50
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\chat.js", "JavaScript", 0, 605, 0, 0, 0, 0, 0, 19, 118, 742
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\drop-down.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 3, 18, 94
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\highlight.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\highlightjs-copy.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\icons.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\import-file.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 3, 28, 151
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\index-name.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 1, 12, 87
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\mail.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 2, 14, 60
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\sidebar-toggler.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 7, 17, 113
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\theme-toggler.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\docs\static\js\toggle-button.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\file_transfer.py", "Python", 44, 0, 0, 0, 0, 0, 0, 2, 17, 63
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\main.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\requirements.txt", "pip requirements", 0, 0, 29, 0, 0, 0, 0, 0, 0, 29
"Total", "-", 937, 2188, 29, 71, 3072, 720, 38, 315, 1482, 8852
